p1        p2        p3         n(p1,p2)  n(p2,p3)  n(p1,p3)    d         p
neowal    neochi    neogra          215        12        11    0.043    1.00000000
neogra    neochi    telvit           82        82        74    0.051    0.57531548
neohel    neomar    neochi          154        43        41    0.024    0.91320236
neohel    neooli    neochi          168        39        31    0.114    0.40296308
neohel    neopul    neochi          178        35        25    0.167    0.24506083
neohel    neosav    neochi          145        58        35    0.247    0.02201859
neowal    neochi    neohel          217        12         9    0.143    0.66362381
neohel    neochi    telvit           83        80        75    0.032    0.74811095
neomar    neooli    neochi          160        43        35    0.103    0.42820704
neomar    neopul    neochi          157        46        35    0.136    0.26641231
neomar    neosav    neochi          140        56        42    0.143    0.18884672
neochi    neowal    neomar          218        11         9    0.100    0.82380295
neomar    neochi    telvit           83        79        76    0.019    0.87244080
neooli    neopul    neochi          188        26        24    0.040    0.88772483
neooli    neosav    neochi          152        46        40    0.070    0.59003561
neowal    neochi    neooli          218        12         8    0.200    0.50344467
neooli    neochi    telvit           84        77        77    0.000    1.00000000
neopul    neosav    neochi          150        46        42    0.045    0.74932900
neowal    neochi    neopul          217        12         9    0.143    0.66362381
neochi    neopul    telvit           85        80        73    0.046    0.62777091
neochi    neowal    neosav          214        14        10    0.167    0.54125619
telvit    neosav    neochi           84        83        71    0.078    0.37545689
neochi    neowal    telvit          217        13         8    0.238    0.38331032
neogra    neohel    neocra           85        81        72    0.059    0.51792103
neomar    neocra    neogra          134        53        51    0.019    0.92194883
neocra    neooli    neogra           83        81        74    0.045    0.62999759
neocra    neopul    neogra           92        79        67    0.082    0.36267876
neocra    neogra    neosav           92        75        71    0.027    0.80402036
neogra    neocra    neowal          166        39        33    0.083    0.55599772
neogra    neocra    telvit          162        39        37    0.026    0.90877693
neomar    neocra    neohel          123        63        52    0.096    0.35112537
neohel    neooli    neocra           98        73        67    0.043    0.67275650
neohel    neopul    neocra          114        69        55    0.113    0.24292283
neocra    neohel    neosav           89        87        62    0.168    0.04891516
neocra    neohel    neowal          160        43        35    0.103    0.42820704
neocra    neohel    telvit          158        43        37    0.075    0.57643063
neomar    neocra    neooli          125        58        55    0.027    0.85086992
neomar    neocra    neopul          122        65        51    0.121    0.22727495
neocra    neomar    neosav          143        49        46    0.032    0.83755607
neocra    neomar    neowal          185        28        25    0.057    0.78384630
neocra    neomar    telvit          178        36        24    0.200    0.15500190
neooli    neopul    neocra          122        60        56    0.034    0.78073913
neocra    neooli    neosav           95        87        56    0.217    0.01184989
neocra    neooli    neowal          167        40        31    0.127    0.34247100
neocra    neooli    telvit          164        42        32    0.135    0.29541328
neocra    neopul    neosav           98        91        49    0.300    0.00048562
neocra    neopul    neowal          166        43        29    0.194    0.12491820
neocra    neopul    telvit          163        46        29    0.227    0.06394992
neocra    neosav    neowal          145        58        35    0.247    0.02201859
neocra    neosav    telvit          143        56        39    0.179    0.10017333
neocra    neowal    telvit           81        80        77    0.019    0.87324814
neogra    neohel    neomar           89        85        64    0.141    0.10100293
neohel    neooli    neogra           95        74        69    0.035    0.73813680
neohel    neopul    neogra          116        62        60    0.016    0.92791080
neogra    neohel    neosav           94        81        63    0.125    0.15633984
neogra    neohel    neowal          166        39        33    0.083    0.55599772
neogra    neohel    telvit          159        43        36    0.089    0.49989688
neogra    neooli    neomar           90        83        65    0.122    0.16207157
neogra    neopul    neomar           87        85        66    0.126    0.14271808
neomar    neogra    neosav           94        81        63    0.125    0.15633984
neogra    neomar    neowal          155        49        34    0.181    0.12385306
neogra    neomar    telvit          150        48        40    0.091    0.45574128
neooli    neopul    neogra          133        56        49    0.067    0.55839429
neogra    neooli    neosav           94        81        63    0.125    0.15633984
neogra    neooli    neowal          166        41        31    0.139    0.28878428
neogra    neooli    telvit          164        40        34    0.081    0.56138074
neogra    neopul    neosav           88        87        63    0.160    0.06002722
neogra    neopul    neowal          163        42        33    0.120    0.35569924
neogra    neopul    telvit          161        45        32    0.169    0.17106097
neogra    neosav    neowal          143        58        37    0.221    0.03960824
neogra    neosav    telvit          145        55        38    0.183    0.09656520
telvit    neowal    neogra           84        81        73    0.052    0.57284597
neohel    neooli    neomar           98        76        64    0.086    0.35258383
neohel    neopul    neomar          116        64        58    0.049    0.65095982
neomar    neohel    neosav           93        82        63    0.131    0.13468540
neomar    neohel    neowal          154        42        42    0.000    1.00000000
neomar    neohel    telvit          151        49        38    0.126    0.28360711
