Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
27800	-5697.126797180004	-5679.075263959616	-18.05153322038855	0.5090590062881013	7.658645377834623	0.00926842268132469
27850	-5696.223826791698	-5678.975520598413	-17.248306193285167	0.40928981433840167	7.437764324702144	0.009588319880332746
27900	-5693.907435575066	-5678.890560806067	-15.016874768999534	0.5183798633682964	6.619469623569538	0.009604669724734177
27950	-5694.154301862392	-5679.361064747038	-14.793237115353723	0.5449816657009151	6.505446967759193	0.010093736652775607
28000	-5693.79082447384	-5679.887161966235	-13.903662507605464	0.5095594564456141	6.067365907318713	0.01018281498757981
28050	-5694.174078491113	-5679.497233732937	-14.676844758174976	0.3569945126869842	6.080233198528486	0.01056370255065152
28100	-5693.874142758827	-5680.516037093894	-13.358105664932319	0.8299096460904726	5.306832415781334	0.010599365334350377
28150	-5695.0978609890735	-5680.341680842543	-14.756180146531086	0.3316931056061533	5.870752143583997	0.010576356330922564
28200	-5694.063082952089	-5680.466118754425	-13.596964197663794	0.4795921730486758	5.870752143583997	0.011169866257851106
28250	-5696.002432349067	-5682.17533293575	-13.827099413317558	0.569798658868403	6.004642448401175	0.013796573402444778
28300	-5699.113230765269	-5682.012633455877	-17.1005973093912	1.182674788329206	5.787385528643047	0.013870154260641544
28350	-5695.499224971265	-5681.553144954547	-13.94608001671825	0.4301485541609148	5.840896950224135	0.013115851214455715
28400	-5698.775014170913	-5682.599941634671	-16.17507253624128	0.7574583548328762	6.717648288134822	0.011614897776762018
28450	-5696.732468078963	-5682.502064335594	-14.230403743369703	0.4791253870200676	6.288545747436716	0.01205745035619674
28500	-5695.584741276051	-5680.967925429382	-14.616815846669002	0.38510876573966274	6.213436451227932	0.01205475600442526
28550	-5695.245563105392	-5680.3038019264595	-14.941761178932286	0.817722848462627	6.024490575379829	0.011794024065782229
28600	-5697.139623589127	-5683.514065162265	-13.625558426862199	0.7284746398570218	5.548821307120661	0.012671726150075934
28650	-5696.776959216141	-5682.797198934874	-13.979760281267113	0.42206236656479623	5.548821307120661	0.013250424986207158
28700	-5697.885032891812	-5684.305661546764	-13.579371345048298	0.5785257355964235	5.672865441676383	0.013896397273809091
28750	-5698.643661809526	-5683.421572182312	-15.22208962721415	0.3363954752008109	6.216097877537267	0.011461754000202776
28800	-5697.733992872713	-5682.0731630028085	-15.660829869904438	0.4595980718244961	6.870459134850412	0.010605550032542268
28850	-5697.467255296509	-5683.278938843441	-14.188316453068293	0.7451097667846888	5.726989361122561	0.010167607627134818
28900	-5698.648258568514	-5682.531911699908	-16.116346868605902	0.29972152195284874	6.464917027659552	0.010063485784413528
28950	-5698.344158622047	-5683.866647395097	-14.477511226950291	0.6556743016758663	6.094920423748522	0.009867636430291602
29000	-5702.251715839801	-5686.570935922015	-15.680779917785966	0.5316689704216113	6.774173032897567	0.009290956505420118
29050	-5697.56664639997	-5682.08331299633	-15.483333403639561	0.3411519372790832	6.418848339069223	0.009604206391408517
29100	-5699.961435476706	-5684.398295494302	-15.56313998240391	0.6333275340484925	6.665824971268521	0.009766617159663009
29150	-5699.858717370782	-5684.4689998016365	-15.389717569145226	0.4321637392153233	6.742090577254301	0.009766617159663009
29200	-5699.233325031999	-5684.501932984418	-14.731392047580844	0.5181714215007218	6.497706985590756	0.009766617159663009
29250	-5701.18574275069	-5685.699736804817	-15.48600594587348	0.32533088162672785	6.567548607742723	0.009314190277262857
29300	-5699.2290749530175	-5684.537672020736	-14.691402932281367	0.6774366673466158	6.455897030364527	0.009784188568334488
29350	-5701.169009318737	-5686.530921570088	-14.638087748649426	0.654375480487691	6.455897030364527	0.010447674384111672
29400	-5703.887405771239	-5687.53809342765	-16.349312343588803	0.9709463077928722	6.285832891670043	0.010052065191177934
29450	-5704.857553893205	-5690.302827020885	-14.554726872319131	0.7431489392727746	6.2064714021870175	0.010425501689763571
29500	-5704.056100021391	-5689.620252863632	-14.435847157759152	0.4709317127931024	6.429188653580072	0.010425501689763571
29550	-5702.694678829782	-5687.653669970299	-15.041008859482325	0.4209666210436693	6.6589579090688344	0.010425501689763571
29600	-5701.9178848320735	-5687.144881761546	-14.773003070527633	0.435618477113304	6.570988819298458	0.01032680764128735
29650	-5700.394173314897	-5685.937307345747	-14.45686596914965	0.5033412233242391	6.454284566086679	0.010570489234420492
