P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S06	S01	S13	0.27341	9.19048	0	0.00573586	30712.2	2670.5	1523.75
S06	S01	S14	0.416187	19.9556	0	0.0156612	26533.4	4621.06	1905
S06	S01	S15	0.272716	9.23456	0	0.00574339	30718	2671.75	1526.75
S06	S01	S16	0.275668	9.42683	0	0.00583833	30707	2691.5	1528.25
S06	S01	S17	0.0502173	1.70128	0.0444453	0.000671181	33353	1419.5	1283.75
S06	S01	S18	0.04798	1.62644	0.0519285	0.000639716	33334	1417	1287.25
S06	S01	S19	0.0483141	1.63962	0.0505416	0.000644218	33335	1418.5	1287.75
S07	S08	S01	0.0191049	1.2039	0.114314	0.000625563	19903.5	2840.5	2734
S01	S07	S09	0.00502805	0.453523	0.325086	0.00026861	11447.2	4747.25	4699.75
S01	S07	S10	0.0131773	1.14578	0.125944	0.000706432	11449	4805.5	4680.5
S01	S07	S11	0.0116333	0.888164	0.187226	0.000578282	15099.8	4223	4125.88
S07	S01	S12	0.206515	6.49367	4.18845e-11	0.00456996	31205.5	2398.25	1577.25
S07	S01	S13	0.268068	9.08654	5.42101e-20	0.00560855	30731.5	2653.75	1531.75
S07	S01	S14	0.412508	20.1298	0	0.0154771	26543	4594.62	1911
S07	S01	S15	0.268287	9.11403	5.42101e-20	0.00563756	30737.2	2655	1531.75
S07	S01	S16	0.270665	9.31502	0	0.00571855	30726.2	2674.75	1535.25
S07	S01	S17	0.0456485	1.48228	0.069133	0.000607723	33378.2	1408.75	1285.75
S07	S01	S18	0.0435508	1.42928	0.0764625	0.000579401	33360.8	1407.75	1290.25
S07	S01	S19	0.0437118	1.43721	0.075329	0.000581371	33361.2	1408.75	1290.75
S01	S08	S09	0.0163753	1.07432	0.141339	0.000877588	11509.2	4810.25	4655.25
S01	S08	S10	0.0231156	1.62516	0.0520643	0.00123395	11492	4835.5	4617
S01	S08	S11	0.0201934	1.26749	0.10249	0.00100223	15165.2	4253.25	4084.88
S08	S01	S12	0.231388	9.03381	1.0842e-19	0.00511958	31361.8	2448	1528
S08	S01	S13	0.291187	11.075	0	0.00603574	30859.8	2675.5	1468.75
S08	S01	S14	0.430217	24.7608	0	0.0160098	26673	4618.12	1839.81
S08	S01	S15	0.286541	11.2027	0	0.00595699	30855.8	2667	1479
S08	S01	S16	0.289845	11.201	0	0.00604642	30839.8	2681.75	1476.5
S08	S01	S17	0.0757534	2.59069	0.00478921	0.00100919	33526.2	1450.25	1246
S08	S01	S18	0.0711367	2.43135	0.00752139	0.000944908	33501.2	1441.75	1250.25
S08	S01	S19	0.0714551	2.44268	0.00728937	0.00094836	33502.2	1443.25	1250.75
S10	S09	S01	0.015885	0.460891	0.322438	0.000118721	49058.7	671.5	650.5
S11	S09	S01	0.699051	53.2048	0	0.0233514	39779.4	5136.12	909.75
S09	S01	S12	0.293819	12.6646	0	0.00866517	25499.1	3439.38	1877.25
S09	S01	S13	0.350669	14.3827	0	0.0097957	25115.5	3785.25	1819.75
S09	S01	S14	0.524266	35.6244	0	0.0250303	21578.5	6377.62	1990.5
S09	S01	S15	0.342897	15.2495	0	0.00958701	25091	3756.25	1838
S09	S01	S16	0.345751	14.8812	0	0.00969438	25079	3775	1835.25
S09	S01	S17	0.0629234	2.44449	0.00725278	0.00119356	27261.8	2039.75	1798.25
S09	S01	S18	0.0641975	2.53795	0.00557516	0.00121775	27252.8	2047.25	1800.25
S09	S01	S19	0.0642857	2.53472	0.00562687	0.00121907	27253.8	2048.75	1801.25
S11	S10	S01	0.810675	78.9341	0	0.0232132	58246.4	4696.44	491.062
S10	S01	S12	0.295783	12.4974	0	0.00859988	25437.8	3399	1847.25
S10	S01	S13	0.352613	16.3471	0	0.00976355	25068.5	3759.25	1799.25
S10	S01	S14	0.524751	36.1647	0	0.0249887	21530.8	6350.88	1979.5
S10	S01	S15	0.347497	16.9844	0	0.00962322	25048	3734.25	1808.25
S10	S01	S16	0.35043	16.5922	0	0.00972639	25035	3752	1804.75
S10	S01	S17	0.0593456	2.12499	0.0167937	0.00110641	27200.2	1999.25	1775.25
S10	S01	S18	0.0614267	2.26035	0.0118997	0.00114605	27193.2	2008.75	1776.25
S10	S01	S19	0.0615182	2.25737	0.0119923	0.00114792	27194.2	2010.25	1777.25
S01	S11	S12	0.248804	8.65004	2.54788e-18	0.013758	21552.7	6183.06	3719.31
S01	S11	S13	0.0454523	1.86089	0.0313795	0.00204158	21366.4	4668.5	4262.56
S11	S01	S14	0.25354	9.95078	0	0.0171307	18324.1	7349.62	4376.56
S01	S11	S15	0.0519751	2.24379	0.012423	0.00233747	21331.5	4686.19	4223.12
S01	S11	S16	0.0507065	2.17102	0.0149647	0.00228165	21308.1	4682.38	4230.44
S01	S11	S17	0.798204	65.9822	0	0.0662371	22688.3	15083.6	1692.69
S18	S11	S01	0.861867	177.169	0	0.103843	30632.7	22660.3	1681.19
S19	S11	S01	0.861598	177.831	0	0.103853	23713.1	22663.6	1684.94
S12	S13	S01	0.0925527	3.1249	0.000889325	0.0036663	53060.1	4305.75	3576.25
S12	S14	S01	0.527109	25.3524	0	0.034475	45752.9	9935.56	3076.69
S12	S15	S01	0.0933977	3.32169	0.000447368	0.00364517	53269.8	4243.75	3518.75
S12	S16	S01	0.0969749	3.26471	0.000547874	0.00379875	53234.9	4274.5	3518.75
